group;name;protein;fat;carb;calorie
Gabonafélék, kenyerek, pékáruk;Barna kenyér;8,5;0,8;50,6;249
Gabonafélék, kenyerek, pékáruk;Búza (mag, teljes búzaliszt);14,4;1,8;66,2;347
Gabonafélék, kenyerek, pékáruk;Búzacsíra;25;8;42;349
Gabonafélék, kenyerek, pékáruk;Búzadara;9,4;1;73,4;349
Gabonafélék, kenyerek, pékáruk;Búzakorpa;15;5,5;51;322
Gabonafélék, kenyerek, pékáruk;Búzapehely;12;2;66;339
Zöldség-, főzelékfélék és készítményeik;Burgonya, nyári;2,5;0,2;18,4;88
Zöldség-, főzelékfélék és készítményeik;Burgonya, téli;2,5;0,2;20;92
Zöldség-, főzelékfélék és készítményeik;Burgonyakocka (fagyasztott);1,9;0,1;14,7;69
Zöldség-, főzelékfélék és készítményeik;Burgonyapüré por;8,4;0,7;80;369
Zöldség-, főzelékfélék és készítményeik;Ceruzabab (fagyasztott);2,5;0,1;4,8;31
Zöldség-, főzelékfélék és készítményeik;Cékla;1,3;0,1;5,9;31
Zöldség-, főzelékfélék és készítményeik;Cukorborsó (fagyasztott);3,6;0,1;6,2;41
Zöldség-, főzelékfélék és készítményeik;Csemegeuborka;0,6;0,1;2,6;59
Zöldség-, főzelékfélék és készítményeik;Csiperkegomba;5,9;0,2;3,3;38,6
Zöldség-, főzelékfélék és készítményeik;Csiperkegomba (szeletelt, fagyasztott);2,3;0,1;1,4;16
Gabonafélék, kenyerek, pékáruk;Durumtészta;14;2,6;75,1;379
Gabonafélék, kenyerek, pékáruk;Fehér kenyér;8,3;0,8;52,3;255
Gabonafélék, kenyerek, pékáruk;Félbarna kenyér;9,8;1;47,9;246
Gabonafélék, kenyerek, pékáruk;Graham kenyér;10,1;1;54;272
Gabonafélék, kenyerek, pékáruk;Kenyér;10;1,8;54,5;262
Gabonafélék, kenyerek, pékáruk;Kukoricacsíra;18,8;34,5;19;476
Gabonafélék, kenyerek, pékáruk;Kukoricaliszt, -dara;9,6;3,1;70,2;347
Gabonafélék, kenyerek, pékáruk;Kukoricapehely;7,7;0,6;83;377
Gabonafélék, kenyerek, pékáruk;Liszt;13,5;1;70,4;344
Gabonafélék, kenyerek, pékáruk;Penne tészta;14;2,6;75,1;379
Gabonafélék, kenyerek, pékáruk;Rizs;8;0,03;77,5;344
Gabonafélék, kenyerek, pékáruk;Rizsliszt;6,9;0,6;79,4;359
Gabonafélék, kenyerek, pékáruk;Rozskenyér;8,1;0,9;53,6;261
Gabonafélék, kenyerek, pékáruk;Rozsliszt RL 125;9,3;1,7;66,6;327
Gabonafélék, kenyerek, pékáruk;Rozsliszt RL 60;7,5;0,9;72,8;337
Gabonafélék, kenyerek, pékáruk;Rozspehely;9;1,5;66;322
Gabonafélék, kenyerek, pékáruk;Spagetti;14;2,6;75,1;379
Gabonafélék, kenyerek, pékáruk;Tészta, 2 tojásos;14;2,6;75,1;379
Gabonafélék, kenyerek, pékáruk;Tészta, 4 tojásos;15;3,4;72,9;392
Gabonafélék, kenyerek, pékáruk;Tészta, 8 tojásos (házi);17;5;69,2;400
Gabonafélék, kenyerek, pékáruk;Zabpehely;14,4;6,8;64,3;386
Gabonafélék, kenyerek, pékáruk;Zsemlemorzsa;10,2;0,9;73,3;342
Zöldség-, főzelékfélék és készítményeik;Bab (fagyasztott);10,8;0,4;29;167
Zöldség-, főzelékfélék és készítményeik;Bab (fagyasztott, előfőzött);9,8;0,5;28;160
Zöldség-, főzelékfélék és készítményeik;Bab (száraz);22,3;1;57,9;338
Zöldség-, főzelékfélék és készítményeik;Babkonzerv;11;0,5;27;156,5
Zöldség-, főzelékfélék és készítményeik;Brokkoli;3,3;0,2;2,1;23,4
Zöldség-, főzelékfélék és készítményeik;Brokkoli (fagyasztott);4;0,4;2;29
Zöldség-, főzelékfélék és készítményeik;Burgonya, nyári;2,5;0,2;18,4;88
Zöldség-, főzelékfélék és készítményeik;Burgonya, téli;2,5;0,2;20;92
Zöldség-, főzelékfélék és készítményeik;Burgonyakocka (fagyasztott);1,9;0,1;14,7;69
