group;name;protein;fat;carb;calorie
Gabonatermékek;Barna kenyér;8,5;0,8;50,6;249
Gabonatermékek;Búza (mag, teljes búzaliszt);14,4;1,8;66,2;347
Gabonatermékek;Búzacsíra;25;8;42;349
Gabonatermékek;Búzadara;9,4;1;73,4;349
Gabonatermékek;Búzakorpa;15;5,5;51;322
Gabonatermékek;Búzapehely;12;2;66;339
Zöldségek;Burgonya, nyári;2,5;0,2;18,4;88
Zöldségek;Burgonya, téli;2,5;0,2;20;92
Zöldségek;Burgonyakocka (fagyasztott);1,9;0,1;14,7;69
Zöldségek;Burgonyapüré por;8,4;0,7;80;369
Zöldségek;Ceruzabab (fagyasztott);2,5;0,1;4,8;31
Zöldségek;Cékla;1,3;0,1;5,9;31
Zöldségek;Cukorborsó (fagyasztott);3,6;0,1;6,2;41
Zöldségek;Csemegeuborka;0,6;0,1;2,6;59
Zöldségek;Csiperkegomba;5,9;0,2;3,3;38,6
Zöldségek;Csiperkegomba (szeletelt, fagyasztott);2,3;0,1;1,4;16
Gabonatermékek;Durumtészta;14;2,6;75,1;379
Gabonatermékek;Fehér kenyér;8,3;0,8;52,3;255
Gabonatermékek;Félbarna kenyér;9,8;1;47,9;246
Gabonatermékek;Graham kenyér;10,1;1;54;272
Gabonatermékek;Kenyér;10;1,8;54,5;262
Gabonatermékek;Kukoricacsíra;18,8;34,5;19;476
Gabonatermékek;Kukoricaliszt, -dara;9,6;3,1;70,2;347
Gabonatermékek;Kukoricapehely;7,7;0,6;83;377
Gabonatermékek;Liszt;13,5;1;70,4;344
Gabonatermékek;Penne tészta;14;2,6;75,1;379
Gabonatermékek;Rizs;8;0,03;77,5;344
Gabonatermékek;Rizsliszt;6,9;0,6;79,4;359
Gabonatermékek;Rozskenyér;8,1;0,9;53,6;261
Gabonatermékek;Rozsliszt RL 125;9,3;1,7;66,6;327
Gabonatermékek;Rozsliszt RL 60;7,5;0,9;72,8;337
Gabonatermékek;Rozspehely;9;1,5;66;322
Gabonatermékek;Spagetti;14;2,6;75,1;379
Gabonatermékek;Tészta, 2 tojásos;14;2,6;75,1;379
Gabonatermékek;Tészta, 4 tojásos;15;3,4;72,9;392
Gabonatermékek;Tészta, 8 tojásos (házi);17;5;69,2;400
Gabonatermékek;Zabpehely;14,4;6,8;64,3;386
Gabonatermékek;Zsemlemorzsa;10,2;0,9;73,3;342
Zöldségek;Bab (fagyasztott);10,8;0,4;29;167
Zöldségek;Bab (fagyasztott, előfőzött);9,8;0,5;28;160
Zöldségek;Bab (száraz);22,3;1;57,9;338
Zöldségek;Babkonzerv;11;0,5;27;156,5
Zöldségek;Brokkoli;3,3;0,2;2,1;23,4
Zöldségek;Brokkoli (fagyasztott);4;0,4;2;29
Zöldségek;Burgonya, nyári;2,5;0,2;18,4;88
Zöldségek;Burgonya, téli;2,5;0,2;20;92
Zöldségek;Burgonyakocka (fagyasztott);1,9;0,1;14,7;69
Zöldségek;Burgonyapüré por;8,4;0,7;80;369
Zöldségek;Ceruzabab (fagyasztott);2,5;0,1;4,8;31
Zöldségek;Cékla;1,3;0,1;5,9;31
Zöldségek;Cukorborsó (fagyasztott);3,6;0,1;6,2;41
Zöldségek;Csemegeuborka;0,6;0,1;2,6;59
Zöldségek;Csiperkegomba;5,9;0,2;3,3;38,6
Zöldségek;Csiperkegomba (szeletelt, fagyasztott);2,3;0,1;1,4;16
Zöldségek;Cukkini;1,5;0,4;5,3;30
Zöldségek;Cukkini (fagyasztott);1,3;0,1;1,4;12
Zöldségek;Fejes saláta;1,4;0,3;2;17
Zöldségek;Fokhagyma;6,8;0,1;26,3;137
Zöldségek;Gyöngyhagyma;1,2;0,1;8,3;39
Zöldségek;Káposzta;1,6;0,2;5,7;31
Zöldségek;Káposzta (savanyított);1,1;0,2;3,4;20
Zöldségek;Káposzta (vörös);1,7;0,2;5,7;32
Zöldségek;Karalábé;2,1;0,2;6,9;39
Zöldségek;Karalábé (fagyasztott);1,7;0,2;4,6;27
Zöldségek;Karfiol;2,4;0,4;3,9;29
Zöldségek;Kelbimbó;4,9;0,6;6,1;51
Zöldségek;Kelkáposzta;3,6;0,3;4,3;34
Zöldségek;Kínai kel;1,2;0,3;2;67
Zöldségek;Kovászos uborka;0,7;0,2;1,9;13
Zöldségek;Kukorica;4,7;1,6;23,6;131
Zöldségek;Kukorica (morzsolt, fagyasztott);6,7;0,4;17,1;102
Zöldségek;Laskagomba;1,9;0,7;6;39
Zöldségek;Laskagomba (fagyasztott);1,7;0,6;5,8;37
Zöldségek;Lencse;26;1,9;53;342
Zöldségek;Lilahagyma;1,2;0,1;8,3;39
Zöldségek;Olívabogyó;0,2;21,9;6,5;224
Zöldségek;Padlizsán;1,3;0,2;4,8;27
Zöldségek;Paprika;1,2;0,3;3;19,5
Zöldségek;Paprika (csípős, fagyasztott);2,1;0,7;9,3;54
Zöldségek;Paprika (piros, fagyasztott);1,4;0,2;5,4;30
Zöldségek;Paprika (sárga, fagyasztott);1,4;0,1;4,7;27
Zöldségek;Paprika (zöld, fagyasztott);1,4;0,1;4,2;24
Zöldségek;Paprika, pritamin;3,4;0,8;8,6;57
Zöldségek;Paradicsom;1;0,2;4;22
Zöldségek;Paradicsom (fagyasztott);1,1;0,3;3,7;23
Zöldségek;Paradicsom, sűrített;5;1;20;111
Zöldségek;Paradicsompüré;5;1;20;109
Zöldségek;Paraj (spenót);2,3;0,3;1,8;20
Zöldségek;Paraj (spenót, fagyasztott);2,6;0,2;2,5;97
Zöldségek;Petrezselyem zöldje;4,4;0,4;9,8;62
Zöldségek;Petrezselyem gyökér;1,2;0,1;5,9;29
Zöldségek;Póréhagyma;2,2;0,3;5,9;37
Zöldségek;Póréhagyma (fagyasztott);2,2;0,3;6,3;38
Zöldségek;Retek;1,2;0,1;2,2;15
Zöldségek;Sárgaborsó;21,7;1,5;53,1;321
Zöldségek;Sárgarépa;1,2;0,2;8,1;39
Zöldségek;Sárgarépa (fagyasztott);1,7;0,2;10,4;52
Zöldségek;Snidling;2,2;0,3;6,3;37
Zöldségek;Sóska;2,4;0,5;2,3;24
Zöldségek;Sóska (fagyasztott);1,5;0,2;0,4;10
Zöldségek;Spárga;2;0,1;1,8;17
Zöldségek;Sütőtök;1,5;0,6;16,5;80
Zöldségek;Szója (extrudált, teljes őrlemény);41,6;23,5;22,1;480
Zöldségek;Szója (granulátum, kocka);45;20,6;18,3;451
Zöldségek;Szójaliszt, (extrahált, zsírtalanított);47,3;0,6;33,4;336
Zöldségek;Tök;1,1;0,1;6,1;31
Zöldségek;Tök (gyalult, fagyasztott);0,8;0,1;2,9;16
Zöldségek;Uborka;1;0,1;1,7;12
Zöldségek;Újhagyma;2,2;0,3;6,3;37
Zöldségek;Vargánya;6,4;0,8;1,3;38
Zöldségek;Vargánya (szárított);38,3;1,8;31,5;303
Zöldségek;Vegyes savanyúság;0,8;0,1;2,4;14
Zöldségek;Vöröshagyma;1,2;0,1;8,3;39
Zöldségek;Vöröshagyma (fagyasztott);1,4;0,1;7,4;37
Zöldségek;Zellergumó;1,4;0,3;5;28
Zöldségek;Zöldbab;2,6;0,3;6,8;40,3
Zöldségek;Zöldbab (konzerv);1,6;0,2;4,3;26
Zöldségek;Zöldborsó;7;0,4;14;87,6
Zöldségek;Zöldborsó (fagyasztott);6,5;0,4;15;92
Zöldségek;Zöldborsó (zsenge, fagyasztott);5,7;0,4;12;77
Zöldségek;Zöldsaláta;1,4;0,3;2;16
Halak;Amur;18;7,5;0,2;145
Halak;Busa;18;1,9;0,6;94
Halak;Fogas;19;0,8;0,2;86
Halak;Harcsa;17,5;0,8;0,2;280
Halak;Heck;20,2;0,9;0;89
Halak;Herng, olajos;15,9;33,8;0,7;382
Halak;Hernig, paradicsomos;18,9;14,6;0,8;217
Halak;Kaviár;26;16;4,6;274
Halak;Lazac;20;14;0,2;213
Halak;Pisztráng;21,5;2,9;0,2;116
Halak;Ponty (nyurga);16;4;0,1;101
Halak;Ponty (tükör);15,8;8,7;0,1;146
Halak;Szardínia, olajos;22,5;21,4;0,3;292
Halak;Tengeri hal;19,4;0,5;1,2;86,9
Halak;Tőkehal, file;19,4;0,5;1,2;89
Halak;Tonhal;19,4;0,5;1,2;86
Magok;Dió;18,6;57;11,7;634
Magok;Földimogyoró;26,7;47,2;14,7;609
Magok;Geszteny;4,8;1,5;32,6;167
Magok;Kesudió;18;42;32;596
Magok;Kókuszdió, friss;3,9;37;10;401
Magok;Mák;20,5;38,2;23,9;537
Magok;Mandula;27,6;52,2;6,8;607
